Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Last 7 Days,CoinA,happyness,likers
,1,Bitcoin  BTC  BTC,"$39,698",-0.8%,-2.9%,23.4%,"$59,988,888,869","$743,190,991,044",,https://www.coingecko.com/en/coins/Bitcoin,76.28%,204544
,2,Ethereum  ETH  ETH,"$1,307.36",-1.1%,6.3%,68.1%,"$41,276,542,283","$150,301,914,212",,https://www.coingecko.com/en/coins/Ethereum,89.97%,173888
,3,Tether  USDT  USDT,$1.00,0.5%,-0.1%,0.1%,"$98,890,159,191","$24,342,213,612",,https://www.coingecko.com/en/coins/Tether,52.21%,24647
,4,XRP  XRP  XRP,$0.330034,-1.8%,1.0%,48.8%,"$6,488,548,342","$15,110,355,690",,https://www.coingecko.com/en/coins/XRP,73.66%,97193
,5,Litecoin  LTC  LTC,$174.93,-1.2%,2.0%,27.0%,"$9,283,023,532","$11,660,130,431",,https://www.coingecko.com/en/coins/Litecoin,83.56%,74608
,6,Bitcoin Cash  BCH  BCH,$596.98,-2.7%,29.3%,68.3%,"$14,587,466,325","$11,316,518,133",,https://www.coingecko.com/en/coins/Bitcoin-Cash,80.55%,45947
,7,Cardano  ADA  ADA,$0.314473,-2.2%,-3.7%,76.5%,"$2,766,688,861","$9,856,633,050",,https://www.coingecko.com/en/coins/Cardano,91.44%,58926
,8,Polkadot  DOT  DOT,$9.44,-1.6%,-0.4%,2.3%,"$811,685,929","$9,015,265,537",,https://www.coingecko.com/en/coins/Polkadot,85.71%,47639
,9,Chainlink  LINK  LINK,$17.06,-1.8%,5.9%,39.7%,"$2,097,996,987","$6,909,560,358",,https://www.coingecko.com/en/coins/Chainlink,91.68%,60263
,10,Stellar  XLM  XLM,$0.296682,-2.5%,-3.4%,131.0%,"$2,118,944,043","$6,589,511,172",,https://www.coingecko.com/en/coins/Stellar,83.77%,47319
,11,Binance Coin  BNB  BNB,$43.34,-0.9%,0.8%,13.0%,"$741,262,462","$6,446,344,265",,https://www.coingecko.com/en/coins/Binance-Coin,82.78%,35740
,12,Bitcoin SV  BSV  BSV,$254.62,-1.7%,9.5%,55.9%,"$4,554,593,438","$4,838,602,921",,https://www.coingecko.com/en/coins/Bitcoin-SV,70.47%,6789
